Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,281808270,3615.457192092268,5946330,76.2883983676348,1351175,5411759,69.43012353193205,43887,0.563047953806869,7605,
United States of America,Americas,52543602,15874.073,1646613,497.462,525763,812577,245.49,10913,3.297,2445
India,South-East Asia,34808886,2522.375,50405,3.653,9195,480592,34.825,2267,0.164,302
Brazil,Americas,22246276,10465.909,30420,14.311,6840,618534,290.993,661,0.311,86
The United Kingdom,Europe,12338680,18175.587,615425,906.557,128685,148021,218.043,585,0.862,18
Russian Federation,Europe,10458271,7166.416,165288,113.262,21119,307022,210.383,6753,4.627,932
Turkey,Europe,9364508,11103.405,154768,183.507,32176,81917,97.128,1139,1.351,184
France,Europe,9070254,13945.792,600652,923.521,174296,120605,185.434,1215,1.868,281
Germany,Europe,7066412,8496.683,187703,225.695,40043,111219,133.73,1895,2.279,414
Iran (Islamic Republic of),Eastern Mediterranean,6188857,7368.305,13075,15.567,2128,131474,156.53,307,0.366,40
Spain,Europe,6032298,12744.485,383197,809.583,48675,89253,188.566,242,0.511,17
Italy,Europe,5756412,9651.691,320269,536.99,78300,136955,229.63,1024,1.717,202
Argentina,Americas,5480305,12125.702,85261,188.648,20263,117066,259.02,136,0.301,31
Colombia,Americas,5127971,10077.987,18949,37.24,3281,129798,255.092,311,0.611,37
Indonesia,South-East Asia,4262351,1558.312,1279,0.468,194,144081,52.676,47,0.017,10
Poland,Europe,4080282,10749.426,80012,210.79,15567,95707,252.138,2878,7.582,793
Mexico,Americas,3951946,3065.122,10867,8.428,13,298819,231.763,270,0.209,0
Ukraine,Europe,3654690,8356.679,31611,72.281,5454,95412,218.166,1503,3.437,307
South Africa,Africa,3424534,5774.085,92526,156.007,7216,90854,153.188,366,0.617,25
Netherlands,Europe,3085553,17725.336,84398,484.835,9213,20802,119.5,272,1.563,75
Philippines,Western Pacific,2839111,2590.877,1588,1.449,421,51213,46.735,429,0.391,2
Malaysia,Western Pacific,2746833,8486.786,22149,68.433,2897,31392,96.991,200,0.618,23
Czechia,Europe,2463780,23039.032,36183,338.351,9135,35975,336.406,419,3.918,64
Peru,Americas,2281362,6919.12,15157,45.97,2063,202550,614.312,255,0.773,26
Thailand,South-East Asia,2217287,3176.63,18226,26.112,2575,21647,31.013,176,0.252,17
Iraq,Eastern Mediterranean,2092650,5202.686,1470,3.655,0,24139,60.014,52,0.129,0
Belgium,Europe,2062836,17902.771,36224,314.378,10,28250,245.174,178,1.545,7
Canada,Americas,1945754,5155.387,49292,130.602,0,30131,79.834,68,0.18,0
Romania,Europe,1804455,9335.559,5000,25.868,1144,58642,303.391,322,1.666,67
Chile,Americas,1801795,9425.487,8009,41.896,762,39059,204.324,165,0.863,3
Japan,Western Pacific,1732369,1369.717,2034,1.608,362,18389,14.539,8,0.006,2
Viet Nam,Western Pacific,1680985,1726.946,109205,112.191,14440,31632,32.497,1591,1.635,214
Bangladesh,South-East Asia,1584518,962.125,2532,1.537,495,28063,17.04,11,0.007,1
Israel,Europe,1371629,15846.832,13274,153.358,2967,8243,95.234,3,0.035,0
Portugal,Europe,1303291,12658.338,69683,676.803,17172,18909,183.655,97,0.942,19
Sweden,Europe,1294560,12534.968,31048,300.632,6047,15286,148.011,5,0.048,0
Pakistan,Eastern Mediterranean,1294031,585.82,2294,1.039,316,28912,13.089,30,0.014,3
Serbia,Europe,1293394,18672.572,8637,124.691,1676,12645,182.554,184,2.656,24
Switzerland,Europe,1270825,14683.779,55620,642.663,175,11750,135.766,68,0.786,0
Austria,Europe,1264647,14207.818,15250,171.328,2265,13250,148.859,86,0.966,17
Hungary,Europe,1249694,12791.757,15950,163.263,3005,39009,399.293,842,8.619,115
Greece,Europe,1105885,10317.473,61584,574.555,21732,20557,191.789,502,4.683,61
Kazakhstan,Europe,1071035,5704.062,3224,17.17,465,18211,96.987,66,0.351,12
Jordan,Eastern Mediterranean,1054892,10338.902,11626,113.945,0,12518,122.688,218,2.137,0
Cuba,Americas,965002,8519.773,765,6.754,145,8321,73.464,5,0.044,0
Morocco,Eastern Mediterranean,956410,2591.155,3113,8.434,0,14832,40.184,18,0.049,0
Georgia,Europe,930544,23326.728,14067,352.629,2514,13707,343.605,486,12.183,61
Slovakia,Europe,835548,15309.041,19446,356.293,4455,16554,303.305,356,6.523,68
Nepal,South-East Asia,827972,2841.67,1549,5.316,209,11590,39.778,11,0.038,2
United Arab Emirates,Eastern Mediterranean,754911,7632.764,10021,101.32,1846,2160,21.839,6,0.061,1
Bulgaria,Europe,737233,10605.408,8556,123.082,1235,30657,441.014,354,5.092,34
Denmark,Europe,732051,12572.227,91137,1565.185,13000,3188,54.751,87,1.494,14
Ireland,Europe,731467,14734.129,64810,1305.485,9006,5890,118.644,55,1.108,0
Tunisia,Eastern Mediterranean,723422,6121.037,1972,16.686,0,25538,216.083,53,0.448,0
Lebanon,Eastern Mediterranean,713670,10456.022,10115,148.195,0,9057,132.695,92,1.348,0
Croatia,Europe,697952,17198.709,19419,478.517,4139,12425,306.173,335,8.255,50
Belarus,Europe,694727,7352.137,8433,89.245,501,5528,58.502,113,1.196,16
Guatemala,Americas,625257,3490.021,1462,8.161,91,16098,89.855,21,0.117,1
Republic of Korea,Western Pacific,620938,1211.133,37879,73.883,5409,5382,10.498,476,0.928,36
Azerbaijan,Europe,615312,6068.659,3755,37.035,376,8324,82.097,102,1.006,16
Sri Lanka,South-East Asia,584586,2730.02,2991,13.968,0,14923,69.69,112,0.523,0
Bolivia (Plurinational State of),Americas,580690,4974.633,14099,120.783,2882,19576,167.703,117,1.002,22
Costa Rica,Americas,568860,11166.997,105,2.061,0,7343,144.147,1,0.02,0
Saudi Arabia,Eastern Mediterranean,553921,1591.093,2711,7.787,602,8873,25.487,8,0.023,1
Ecuador,Americas,542960,3077.472,5740,32.534,619,33650,190.727,36,0.204,1
Myanmar,South-East Asia,530272,974.589,1434,2.636,272,19262,35.402,27,0.05,2
Lithuania,Europe,515892,18463.686,9748,348.879,2062,7350,263.055,150,5.368,22
